year,color,total_quantity
2000.0,Pearl Light Gold,2
2000.0,Pearl Light Gray,134
2000.0,Pearl Sand Blue,17
2000.0,Pearl Very Light Gray,9
2000.0,Pink,20
2000.0,Purple,92
2000.0,Red,3476
2000.0,Rust,2
2000.0,Salmon,2
2000.0,Sand Green,2867
2000.0,Tan,896
2000.0,Trans-Brown,16
2000.0,Trans-Clear,295
2000.0,Trans-Dark Blue,121
2000.0,Trans-Dark Pink,30
2000.0,Trans-Green,84
2000.0,Trans-Light Blue,169
2000.0,Trans-Light Purple,4
2000.0,Trans-Neon Green,218
2000.0,Trans-Neon Orange,209
2000.0,Trans-Purple,14
2000.0,Trans-Red,190
2000.0,Trans-Yellow,108
2000.0,Very Light Gray,207
2000.0,Very Light Orange,15
2000.0,Violet,12
2000.0,White,3193
2000.0,Yellow,2772
2000.0,[No Color/Any Color],169
2000.0,[Unknown],17
2001.0,Aqua,3
2001.0,Black,11306
2001.0,Blue,2601
2001.0,Bright Green,79
2001.0,Brown,972
2001.0,Chrome Antique Brass,8
2001.0,Chrome Blue,2
2001.0,Chrome Gold,35
2001.0,Chrome Pink,1
2001.0,Chrome Silver,81
2001.0,Dark Blue,9
2001.0,Dark Gray,3266
2001.0,Dark Green,1
2001.0,Dark Nougat,4
2001.0,Dark Olive Green,1
2001.0,Dark Orange,59
2001.0,Dark Purple,6
2001.0,Dark Red,78
2001.0,Dark Tan,1
2001.0,Dark Turquoise,78
2001.0,Earth Orange,3
2001.0,Glitter Trans-Dark Pink,2
2001.0,Glow In Dark Opaque,4
2001.0,Green,2972
