fig_num,fig_name,num_parts,age_group_heuristic
fig-000271,"Doctor, White Torso with Stethoscope and Pocket, White Legs, Black Hair, Glasses",4,Unspecified
fig-000272,"Finn, Stormtrooper Armor",4,Unspecified
fig-000273,Soccer Player Coca-Cola Goalie,4,Unspecified
fig-000274,"Timmy - Blue Legs, Red Cap",4,Unspecified
fig-000275,"Olivia - Magenta Top, Bright Light Blue Skirt",4,Unspecified
fig-000276,"Harry Potter, Black Tuxedo",4,Unspecified
fig-000277,Pepper Roni,4,Unspecified
fig-000278,BR Anniversary Minifigure,4,Unspecified
fig-000279,The Collector,5,Unspecified
fig-000280,"Pirate - Shirt with Knife, Blue Legs, Black Bicorne",4,Unspecified
fig-000281,"Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile",5,Unspecified
fig-000282,Jay NRG,4,Unspecified
fig-000283,"Racer, Yellow and White Outfit with Tiger, Black Helmet with Visor, Yellow Life Vest",6,Unspecified
fig-000284,"Fireman, Orange Safety Vest with Radio, White Helmet with Visor, Stubble",5,Adult-coded
fig-000285,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4,Adult-coded
fig-000286,Lieutenant Maverick,5,Unspecified
fig-000287,"Snowboarder, Black Jacket, Black Hat, Neck Bracket",5,Unspecified
fig-000288,"Man, Plain Red, Helmet with Visor, Yellow Life Vest",6,Adult-coded
fig-000289,"Man, Plain Red Torso, Black Legs, Blue Hat",4,Adult-coded
fig-000290,Robber with Tattered Green Vest,4,Unspecified
fig-000291,Tonto,5,Unspecified
fig-000292,"Ninja, Black",4,Unspecified
fig-000293,"Racer, White Shirt with Shell Logo, Red Legs, Red Helmet with Visor",5,Unspecified
fig-000294,"Soccer Player Goalie Blue Torso with Silver print, Black Legs, Blue Cap",4,Unspecified
fig-000295,"Man - White Torso, Black Legs, Black Spiky Hair",4,Adult-coded
fig-000296,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Dark Bluish Gray Hands, White Helmet, Cheek Lines",4,Adult-coded
fig-000297,"Pirate - Red/Black Stripes, Blue Legs, Blue Bandana",4,Unspecified
fig-000298,"Luke Skywalker, Printed Medal, White Pupils",4,Unspecified
fig-000299,"Luke Skywalker, Printed Medal, Black Eyes",4,Unspecified
fig-000300,"Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector, Plastic Cape",5,Unspecified
fig-000301,Grip - Light Gray Legs,4,Unspecified
fig-000302,"Andrea - Bright Light Orange Top, Light Aqua Skirt, Magenta Party Hat",5,Unspecified
fig-000303,"Clone Trooper, Phase I Armor, Brown Eyes",4,Unspecified
